name,website,hq_country,sector,obs | linkedin,filename_prefix,about_link
GLEIF,https://www.gleif.org/,Switzerland,Civil Society,-,www-gleif-org,https://www.gleif.org/en/about
Toshiba Corporation,https://www.global.toshiba/ww/top.html,Japan,Large Enterprise,-,www-global-toshiba,https://www.global.toshiba/ww/about/corporate.html
Agora.io,https://www.agora.io/en/,China,Large Enterprise,-,www-agora-io,https://www.agora.io/en/about-us/
Quantcast,https://www.quantcast.com/,United States ,Large Enterprise,-,www-quantcast-com,
Legible Media Inc.,https://www.legible.com/,Canada,Small/Medium Enterprise,-,www-legible-com,https://www.legible.com/about-us
Robert Bosch GmbH,https://www.bosch.com,Germany,Large Enterprise,-,www-bosch-com,https://www.bosch.com/research/about-bosch-research/
VMware,https://www.vmware.com,United States ,Large Enterprise,-,www-vmware-com,
NCR Voyix,https://www.ncrvoyix.com,United States ,Large Enterprise,-,www-ncrvoyix-com,https://www.ncrvoyix.com/company/about-us
Worldline,https://worldline.com,France,Large Enterprise,-,worldline-com,https://worldline.com/en/home/top-navigation/about-worldline/who-we-are
Janeiro Digital,https://www.janeirodigital.com,United States ,Small/Medium Enterprise,-,www-janeirodigital-com,https://www.janeirodigital.com/who-we-are/
Techfriar,https://techfriar.com,India,Large Enterprise,-,techfriar-com,https://techfriar.com/about-us/
The Clearing House,https://www.theclearinghouse.org,United States ,Civil Society,-,www-theclearinghouse-org,https://www.theclearinghouse.org/About/History
Lenovo,https://www.lenovo.com/,China / United States,Large Enterprise,-,www-lenovo-com,
Centre for Inclusive Design,https://centreforinclusivedesign.org.au,Australia,Small/Medium Enterprise,https://www.linkedin.com/company/cfid/,centreforinclusivedesign-org-au,https://centreforinclusivedesign.org.au/about/
Jolocom GmbH,https://stories.jolocom.com/,Germany,Small/Medium Enterprise,https://www.linkedin.com/company/jolocom/,stories-jolocom-com,https://stories.jolocom.com/about
Cloudflare,https://www.cloudflare.com,United States ,Large Enterprise,-,www-cloudflare-com,https://www.cloudflare.com/about-overview/
TikTok,https://www.tiktok.com/,China,Large Enterprise,-,www-tiktok-com,
Tigim,https://www.tigim.co,Ireland,Small/Medium Enterprise,https://www.linkedin.com/company/tigim/,www-tigim-co,https://www.tigim.co/about-us
Brickdoc,https://brickdoc.com/,United States ,Small/Medium Enterprise,https://web.archive.org/web/20210512051834/https://brickdoc.com/,brickdoc-com,
Wiley,https://www.wiley.com,United States ,Large Enterprise,-,www-wiley-com,https://www.wiley.com/about
Mightybytes,https://www.mightybytes.com/,United States ,Small/Medium Enterprise,-,www-mightybytes-com,https://www.mightybytes.com/about/
Protocol Labs,https://www.protocol.ai/,United States ,Technical community,-,www-protocol-ai,https://www.protocol.ai/about/
University of Southampton,https://www.southampton.ac.uk/,United Kingdom,Academia,-,www-southampton-ac-uk,https://www.southampton.ac.uk/about
Koodos Labs,https://koodos.com,United States ,Small/Medium Enterprise,-,koodos-com,
Warm Automation,https://warmlabs.com,United States ,Small/Medium Enterprise,-,warmlabs-com,https://warmlabs.com#about
mesur.io,https://www.mesur.io,United States ,Small/Medium Enterprise,-,www-mesur-io,
