organization,website,hq_country,sector,obs | linkedin
GLEIF,https://www.gleif.org/,Switzerland,Civil Society,-
Toshiba Corporation,https://www.global.toshiba/ww/top.html,Japan,Large Enterprise,-
Agora.io,https://www.agora.io/en/,China,Large Enterprise,-
Quantcast,https://www.quantcast.com/,United States ,Large Enterprise,-
Legible Media Inc.,https://www.legible.com/,Canada,Small/Medium Enterprise,-
Exact Realty Limited,-,United States ,Small/Medium Enterprise,https://www.linkedin.com/company/exact-realty/
Robert Bosch GmbH,https://www.bosch.com,Germany,Large Enterprise,-
VMware,https://www.vmware.com,United States ,Large Enterprise,-
NCR Voyix,https://www.ncrvoyix.com ,United States ,Large Enterprise,-
Worldline,https://worldline.com,France,Large Enterprise,-
"Hangzhou Qulian Technology Co., Ltd.",-,China,Large Enterprise,https://www.linkedin.com/company/hyperchaintech/
Janeiro Digital,https://www.janeirodigital.com,United States ,Small/Medium Enterprise,-
Techfriar,https://techfriar.com,India,Large Enterprise,-
Gen,,Brazil,Civil Society,https://www.linkedin.com/company/sejagen
The Clearing House,https://www.theclearinghouse.org,United States ,Civil Society,-
Lenovo,https://www.lenovo.com/,China / United States,Large Enterprise,-
Luminem,,France,Small/Medium Enterprise,https://www.linkedin.com/company/luminem/
Centre for Inclusive Design,https://centreforinclusivedesign.org.au,Australia,Small/Medium Enterprise,https://www.linkedin.com/company/cfid/
Jolocom GmbH,https://stories.jolocom.com/,Germany,Small/Medium Enterprise,https://www.linkedin.com/company/jolocom/
Cloudflare,https://www.cloudflare.com,United States ,Large Enterprise,-
TikTok,https://www.tiktok.com/ ,China,Large Enterprise,-
Tigim,https://www.tigim.co,Ireland,Small/Medium Enterprise,https://www.linkedin.com/company/tigim/
Brickdoc,https://brickdoc.com/,United States ,Small/Medium Enterprise,https://web.archive.org/web/20210512051834/https://brickdoc.com/
Wiley,https://www.wiley.com,United States ,Large Enterprise,-
Mightybytes,https://www.mightybytes.com/,United States ,Small/Medium Enterprise,-
Protocol Labs,https://www.protocol.ai/,United States ,Technical community,-
University of Southampton,https://www.southampton.ac.uk/,United Kingdom,Academia,-
Koodos Labs,https://koodos.com,United States ,Small/Medium Enterprise,-
Warm Automation,https://warmlabs.com,United States ,Small/Medium Enterprise,-
mesur.io,https://tradeverifyd.com/,United States ,Small/Medium Enterprise,https://www.mesur.io
