name,country,llm_sector,my_sector,sector
Centre For Accessibility Australia,Australia,Nonprofit organization,,Nonprofit organization
Intopia,Australia,Nonprofit organization,,Nonprofit organization
KurrawongAI,Australia,Small/Medium enterprise,,Small/Medium enterprise
Pyx Industries,Australia,Nonprofit organization,,Nonprofit organization
Universities Admissions Centre,Australia,Nonprofit organization,,Nonprofit organization
Vision Australia,Australia,Nonprofit organization,,Nonprofit organization
Danube Tech GmbH,Austria,Large enterprise,,Large enterprise
Fabasoft,Austria,Large enterprise,,Large enterprise
WU (Wirschaftsuniversität Wien) - Vienna University of Economics and Business,Austria,Academia,Academia,Academia
Digitaal Vlaanderen,Belgium,Government,,Government
GS1,Belgium,Nonprofit organization,,Nonprofit organization
IAB Europe,Belgium,Nonprofit organization,,Nonprofit organization
imec,Belgium,Academia,,Academia
ISO 20022 Registration Authority,Belgium,Nonprofit organization,,Nonprofit organization
VITO,Belgium,Nonprofit organization,,Nonprofit organization
NIC.br - Brazilian Network Information Center,Brazil,Nonprofit organization,Nonprofit organization,Nonprofit organization
Ontotext,Bulgaria,Small/Medium enterprise,,Small/Medium enterprise
QualiBooth,Bulgaria,Small/Medium enterprise,,Small/Medium enterprise
1Password,Canada,Small/Medium enterprise,Large enterprise,Large enterprise
Common Approach to Impact Measurement,Canada,Technical community,,Technical community
Crawford Technologies,Canada,Large enterprise,,Large enterprise
eBOUND Canada,Canada,Nonprofit organization,,Nonprofit organization
GrackleDocs,Canada,Nonprofit organization,,Nonprofit organization
Mavennet Systems Inc.,Canada,Small/Medium enterprise,,Small/Medium enterprise
Natural Resources Canada,Canada,Government,,Government
Shopify,Canada,Large enterprise,,Large enterprise
Thomson Reuters Corp.,Canada,Large enterprise,,Large enterprise
360,China,Large enterprise,,Large enterprise
Alibaba Group,China,Large enterprise,,Large enterprise
"Ant Group Co., Ltd.",China,Large enterprise,,Large enterprise
"Baidu, Inc.",China,Large enterprise,,Large enterprise
Beihang University,China,Academia,,Academia
"Beijing Haitai Fangyuan Technologies Co,.Ltd.",China,Large enterprise,,Large enterprise
ByteDance,China,Large enterprise,Large enterprise,Large enterprise
China Academy of Information and Communications Technology (CAICT),China,Government,,Government
China Electronics Standardization Institute（中国电子技术标准化研究院）,China,Nonprofit organization,,Nonprofit organization
China Mobile Communications Corporation,China,Large enterprise,,Large enterprise
Chinese Academy of Sciences,China,Academia,,Academia
DappWorks Technology Inc.,China,Large enterprise,,Large enterprise
Dingdao,China,Large enterprise,,Large enterprise
ESWIN,China,Small/Medium enterprise,,Small/Medium enterprise
Finogeeks,China,Small/Medium enterprise,,Small/Medium enterprise
Huawei,China,Large enterprise,,Large enterprise
InclusionX 融合加科技,China,Large enterprise,,Large enterprise
"Jiangsu TPBlock Technology Co., Ltd. （江苏第三极区块链科技有限公司）",China,Large enterprise,,Large enterprise
Loongson(He Fei) Technology Corporation Limited,China,Large enterprise,,Large enterprise
Memect Technology Co. Ltd. 北京文因互联科技有限公司,China,Small/Medium enterprise,,Small/Medium enterprise
Nanjing Institute of digital Financial Industry Co.Ltd,China,Large enterprise,,Large enterprise
Nanjing University,China,Academia,,Academia
Shenzhen Accessibility Research Association,China,Nonprofit organization,,Nonprofit organization
Shenzhen Institute of Information Technology,China,Academia,,Academia
Tencent,China,Large enterprise,,Large enterprise
Zhejiang University,China,Academia,,Academia
ZIIOT,China,Nonprofit organization,,Nonprofit organization
Instituto Tecnológico de Costa Rica,Costa Rica,Academia,,Academia
Agency for Digitisation,Denmark,Government,Government,Government
Criipto,Denmark,Small/Medium enterprise,,Small/Medium enterprise
Siteimprove,Denmark,Large enterprise,,Large enterprise
Aalto University,Finland,Academia,,Academia
Tampere University,Finland,Academia,,Academia
Traficom - Finnish Transport and Communications Agency,Finland,Government,,Government
CANTON CONSULTING,France,Small/Medium enterprise,,Small/Medium enterprise
Criteo,France,Large enterprise,,Large enterprise
EDRLab,France,Nonprofit organization,,Nonprofit organization
ERCIM,France,Academia,,Academia
FIME,France,Large enterprise,,Large enterprise
Institut Mines-Télécom,France,Academia,,Academia
Institut National de Recherche en Informatique et en Automatique (Inria),France,Academia,Academia,Academia
Startin'blox,France,Technical community,Small/Medium enterprise,Small/Medium enterprise
Université Côte d'Azur,France,Academia,,Academia
Datagraph GmbH,Germany,Small/Medium enterprise,,Small/Medium enterprise
eyeo GmbH,Germany,Small/Medium enterprise,,Small/Medium enterprise
Forschungszentrum Informatik (FZI),Germany,Academia,,Academia
Fraunhofer Gesellschaft,Germany,Nonprofit organization,,Nonprofit organization
German Research Center for Artificial Intelligence (DFKI) Gmbh,Germany,Nonprofit organization,,Nonprofit organization
HiveMQ,Germany,Small/Medium enterprise,,Small/Medium enterprise
Hochschulbibliothekszentrum des Landes NRW,Germany,Nonprofit organization,,Nonprofit organization
IDnow GmbH,Germany,Small/Medium enterprise,,Small/Medium enterprise
SAP SE,Germany,Large enterprise,,Large enterprise
Siemens AG,Germany,Large enterprise,,Large enterprise
SPRIND GmbH,Germany,Nonprofit organization,,Nonprofit organization
The German Association for the Digital Economy (BVDW),Germany,Nonprofit organization,,Nonprofit organization
Thinktecture,Germany,Small/Medium enterprise,,Small/Medium enterprise
Viacom inc.,Germany,Large enterprise,,Large enterprise
|pipe|,Germany,Technical community,,Technical community
CRITAC,Ghana,Nonprofit organization,,Nonprofit organization
Foundation for Research and Technology - Hellas (FORTH),Greece,Academia,,Academia
"Digital Policy Office, The Government of the Hong Kong Special Administrative Region of the People's Republic of China",Hong Kong SAR China,Government,,Government
Hong Kong Blind Union,Hong Kong SAR China,Nonprofit organization,,Nonprofit organization
SZTAKI,Hungary,Academia,,Academia
BarrierBreak Technologies,India,Small/Medium enterprise,,Small/Medium enterprise
Whatfix,India,Large enterprise,,Large enterprise
INSIGHT - The Centre for Data Analytics,Ireland,Academia,,Academia
Vidos,Ireland,Technical community,,Technical community
Vision Ireland,Ireland,Small/Medium enterprise,,Small/Medium enterprise
accessiBe,Israel,Nonprofit organization,,Nonprofit organization
Wix.com Ltd.,Israel,Large enterprise,,Large enterprise
Agenzia per l'Italia Digitale,Italy,Government,,Government
Electe,Italy,Small/Medium enterprise,,Small/Medium enterprise
Fondazione LIA,Italy,Nonprofit organization,,Nonprofit organization
University of Milano Bicocca,Italy,Academia,,Academia
"ACCESS CO., LTD.",Japan,Large enterprise,,Large enterprise
"Alfasado, Inc.",Japan,Small/Medium enterprise,Small/Medium enterprise,Small/Medium enterprise
Design Inc.,Japan,Small/Medium enterprise,,Small/Medium enterprise
Digital Publishers Federation of Japan,Japan,Nonprofit organization,Nonprofit organization,Nonprofit organization
FLUX Inc.,Japan,Large enterprise,,Large enterprise
Fujitsu Limited,Japan,Large enterprise,,Large enterprise
Future Technology Laboratories Inc.,Japan,Small/Medium enterprise,,Small/Medium enterprise
"Hitachi, Ltd.",Japan,Large enterprise,,Large enterprise
Internet Academy,Japan,Academia,,Academia
"Internet Research Institute, Inc.",Japan,Large enterprise,,Large enterprise
"Japan Registry Services Co., Ltd.",Japan,Large enterprise,,Large enterprise
"JCB CO., LTD.",Japan,Large enterprise,,Large enterprise
Kadokawa Corporation,Japan,Large enterprise,,Large enterprise
KDDI CORPORATION,Japan,Large enterprise,,Large enterprise
Keio University,Japan,Academia,,Academia
"Kodansha, Publishers, Ltd.",Japan,Large enterprise,,Large enterprise
